Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Signal,Position
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2023-07-10,42.14933776855469,42.77987958473674,41.618721733111734,42.62599220515189,353908000,41.86793956756592,36.1538045501709,1.0,1.0
2023-07-11,42.37417221069336,42.72691623562603,42.03642048343686,42.45011717550455,298244000,42.04955768585205,36.45722015380859,1.0,1.0
2023-07-12,43.870079040527344,43.90305599140233,42.74589703423399,43.001711413643235,481277000,42.270396614074706,36.78010261535645,1.0,1.0
2023-07-13,45.94357681274414,46.12144500110187,44.459655768689124,44.485637843052004,478204000,42.51796646118164,37.12125431060791,1.0,1.0
2023-07-14,45.43594741821289,48.053042979669556,45.027244350268305,46.54913599395856,772075000,42.64147682189942,37.466241722106936,1.0,1.0
2023-07-17,46.42722702026367,46.462201427028674,45.2291010485681,46.25535497097536,510488000,42.83173828125,37.83920803070068,1.0,1.0
2023-07-18,47.459468841552734,47.86117699331049,45.700750131517545,46.66704612621804,569164000,43.07166347503662,38.23761512756348,1.0,1.0
2023-07-19,47.04277801513672,47.783240488874554,46.708022451305204,47.42949773035123,427502000,43.234994888305664,38.605347061157225,1.0,1.0
2023-07-20,45.486915588378906,47.052778002456606,45.029248289194435,46.473197728621386,537865000,43.35865535736084,38.93254959106445,1.0,1.0
2023-07-21,44.27678298950195,45.83265398251241,44.067935310129315,45.754707765315004,963769000,43.422808456420896,39.24713981628418,1.0,1.0
2023-07-24,44.57956314086914,45.07620343021659,44.00798043185595,44.69847610025229,382516000,43.54287109375,39.56151077270508,1.0,1.0
2023-07-25,45.645790100097656,46.14942147302996,44.8903392287754,44.90832769720461,348081000,43.795037841796876,39.903341178894046,1.0,1.0
2023-07-26,45.4189567565918,46.01952157703273,44.59755574079193,45.98754334626847,364237000,43.97370796203613,40.24539093017578,1.0,1.0
2023-07-27,45.86663055419922,47.360542567448725,45.716738084889066,46.48518000024853,455976000,44.212684059143065,40.58414443969727,1.0,1.0
2023-07-28,46.71601104736328,46.9928100852104,46.34727984222391,46.63406993246034,331194000,44.50886859893799,40.934689865112304,1.0,1.0
2023-07-31,46.695030212402344,47.09573967930946,46.472192750297545,46.7200135632976,251055000,44.730057907104495,41.26553173065186,1.0,1.0
2023-08-01,46.47319030761719,46.86590615971662,45.99353971547932,46.42622359131387,237858000,44.93460922241211,41.56196166992188,1.0,1.0
2023-08-02,44.23682403564453,45.806681298718125,43.35546514879733,45.79768896870756,530142000,45.032138442993165,41.82193740844727,1.0,1.0
2023-08-03,44.482635498046875,45.08519773730657,43.76815517445485,43.76815517445485,324176000,45.15265064239502,42.08858783721924,1.0,1.0
2023-08-04,44.64752197265625,45.60882067268021,44.36073184609566,44.95230057010458,362666000,45.26142196655273,42.36828796386719,1.0,1.0
2023-08-07,45.38398361206055,45.506895294186684,44.53060434183165,45.07820630485827,322154000,45.423154258728026,42.665714797973635,1.0,1.0
2023-08-08,44.631526947021484,45.20910580762462,44.0239673068551,44.820388704613485,353843000,45.53602199554443,42.79937614440918,1.0,1.0
2023-08-09,42.52306365966797,44.279784996235016,42.10336702177276,44.2418106099287,586449000,45.46867122650146,42.8715641784668,1.0,1.0
2023-08-10,42.35718536376953,43.54232399177734,41.80458597956359,42.129350474246436,492705000,45.28935165405274,42.91715400695801,1.0,1.0
2023-08-11,40.82529830932617,41.98745483103536,40.609455735906536,41.72064683355446,533085000,45.0588191986084,42.97760818481445,1.0,1.0
2023-08-14,43.721187591552734,43.76815430441539,40.28169257903262,40.456564582325726,690286000,44.92351722717285,43.0572924041748,1.0,1.0
2023-08-15,43.90805435180664,45.23509182651046,43.67822201869262,44.52760635786077,676512000,44.74594650268555,43.14956657409668,1.0,1.0
2023-08-16,43.454383850097656,44.642518572075744,43.374440183849174,44.487632483624076,527451000,44.56652679443359,43.23588478088379,1.0,1.0
2023-08-17,43.3124885559082,44.02996504043604,42.9697356160732,43.93803287430319,452395000,44.457805442810056,43.3296964263916,1.0,1.0
2023-08-18,43.26751708984375,43.54631355808522,41.6297088674994,42.603998420369834,583768000,44.40734214782715,43.44609176635742,1.0,1.0
2023-08-21,46.93285369873047,47.030782025071126,44.18985040134457,44.46165201493228,692573000,44.52500667572021,43.61510871887207,1.0,1.0
2023-08-22,45.634796142578125,48.15196569860594,45.30004062070193,48.10000155373569,755293000,44.52445697784424,43.75296844482422,1.0,1.0
2023-08-23,47.081748962402344,47.165687530536545,45.175135085824124,45.832657681466124,779046000,44.60759658813477,43.90553741455078,1.0,1.0
2023-08-24,47.12871170043945,50.229456525679716,47.12471680402284,50.17949363700367,1156044000,44.67070064544678,44.028268051147464,1.0,1.0
2023-08-25,45.98454666137695,47.7702462695261,44.99126600172495,46.97782350910496,925341000,44.63412742614746,44.08864418029785,1.0,1.0
2023-08-28,46.80094909667969,46.945844136189635,44.85536600768865,46.44820509438741,685192000,44.63942337036133,44.172223205566404,1.0,1.0
